"Int_no","Rue_1","Rue_2","Arrondissement","X","Y"
1309,"16 e Avenue","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",303805.97,5056343.24
1310,"Sherbrooke","Tricentenaire","Rivières-des-Prairies - Pointe-aux-Trembles",303961.71,5056988.55
1311,"Robert-Chevalier","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",304035.92,5057292.22
1312,"32 e Avenue","Sherbrooke Est","Rivières-des-Prairies - Pointe-aux-Trembles",304113.7,5057616.25
1313,"Saint-Jean-Baptiste","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",303718.44,5055987.76
1315,"36 e Avenue","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",304170.36,5057850.49
1316,"40 e Avenue","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",304252.04,5058189.04
1321,"Sherbrooke","15200 Est (Polyv. P.A.T.)","Rivières-des-Prairies - Pointe-aux-Trembles",304856.97,5060676.5
1322,"Sherbrooke","15400 Est (C.I.P.)","Rivières-des-Prairies - Pointe-aux-Trembles",304917.7,5060924.5
1323,"Chatelain","Rosemont","Rosemont - Petite-Patrie",299967.27,5048416.14
1326,"René-Lévesque","Saint-Jean-Baptiste","Rivières-des-Prairies - Pointe-aux-Trembles",304766.32,5055747.33
1327,"3 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305368.94,5055018.46
1328,"8 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305499.39,5055372.63
1329,"16 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305596.79,5055948.13
1331,"32 e Avenue","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305472.14,5057317.95
1337,"Notre-Dame","Saint-Jean-Baptiste","Rivières-des-Prairies - Pointe-aux-Trembles",305560.31,5055561.12
1340,"Montigny","Saint-Jean-Baptiste","Rivières-des-Prairies - Pointe-aux-Trembles",304299.29,5055856.37
1344,"Biencourt","Monk","Sud-Ouest",297282.96,5035433.07
1348,"Hamilton","Jolicoeur","Sud-Ouest",297175.94,5035182.33
1352,"Monk","Raudot","Sud-Ouest",297589.79,5034265.92
1356,"17 e Avenue","Jarry","Villeray - Saint-Michel - Parc-Extension",296524.16,5047542.16
1365,"1 ere Avenue","Rosemont","Rosemont - Petite-Patrie",298158.39,5045330.09
1366,"Congrégation","Wellington","Sud-Ouest",300234.18,5037931.55
1367,"Fortune","Wellington","Sud-Ouest",300179.92,5037551.4
1370,"Berri","Mont-Royal","Plateau Mont-Royal",298393.8,5042787.58
1371,"Gouin","Poutrincourt","Ahuntsic - Cartierville",288669.33,5044651.97
1372,"6 e Avenue","Henri-Bourassa Est","Rivières-des-Prairies - Pointe-aux-Trembles",297472.23,5053007.09
1373,"Armand-Chaput","Henri-Bourassa Est","Rivières-des-Prairies - Pointe-aux-Trembles",302579.26,5057360.13
1374,"Armand-Bombardier","Henri-Bourassa Est/Ray-Lawson","Rivières-des-Prairies - Pointe-aux-Trembles",298444.52,5053933.39
1378,"Henri-Bourassa Est","Rivière-des-Prairies","Rivières-des-Prairies - Pointe-aux-Trembles",300592.06,5055964.07
1379,"27 e Avenue","Maurice-Duplessis","Rivières-des-Prairies - Pointe-aux-Trembles",298112.06,5054936.3
1382,"Coloniale","Sherbrooke","Plateau Mont-Royal",299410.02,5041515.58
1383,"Bélanger","Sagard","Villeray - Saint-Michel - Parc-Extension",296951.3,5045542.22
1384,"Docteur-Penfield","McTavish","Ville-Marie",298668.14,5040457.71
1387,"Saint-Alexandre","Viger","Ville-Marie",299916.71,5040324.88
1388,"Laurentien","Périnault","Ahuntsic - Cartierville",287863.12,5042995.97
1390,"Chambly","Rachel","Rosemont - Petite-Patrie",300273.77,5045536.56
1391,"Place d'Armes","Saint-Jacques Est","Ville-Marie",300309.9,5040586.55
1392,"Côte-des-Neiges","Goyer","Côte-des-Neiges - Notre-Dame-de-Grâce",294107.86,5040344.55
1394,"Garnier","Jean-Talon","Villeray - Saint-Michel - Parc-Extension",296313.19,5045142.05
1395,"Henri-Bourassa","Marcelin-Wilson","Ahuntsic - Cartierville",290772.62,5044063.97
1396,"La Gauchetière","Saint-Urbain","Ville-Marie",300044.65,5040778.79
1397,"Lajeunesse","Prieur","Ahuntsic - Cartierville",291917.19,5046056.03
1400,"City Councillors","Maisonneuve","Ville-Marie",299310.43,5040644.07
1401,"Notre-Dame","Sortie Molson","Ville-Marie",301017.4,5041984.5
1403,"Parc","5305","Plateau Mont-Royal",296992.44,5042369
1405,"Esplanade","Henri-Bourassa","Ahuntsic - Cartierville",291323.07,5045305.69
1407,"La Rousselière","Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305238.75,5058630.05
1410,"Mill","Oak","Sud-Ouest",300743.47,5038809.06
1412,"Mont-Royal","Parthenais","Plateau Mont-Royal",299234.54,5044057.46
1414,"Atwater","1588 Atwater  Forum Pepsi","Ville-Marie",298142.7,5038870
1415,"Legendre","Marché-Central","Ahuntsic - Cartierville",292854.26,5043730.23
1416,"Saint-Patrick","Thomas-Keefer","Sud-Ouest",299000,5037560
1419,"Saint-Jacques","Square Victoria Ouest","Ville-Marie",300049.22,5040108.5
1420,"Brébeuf","Rachel","Plateau Mont-Royal",299101.99,5043004.89
1422,"Docteur-Penfield","Drummond","Ville-Marie",298456.74,5040229.06
1427,"Bonavista","Côte-Saint-Luc","Côte-des-Neiges - Notre-Dame-de-Grâce",295731.29,5038179.43
1432,"Bloomfield","Ogilvy","Villeray - Saint-Michel - Parc-Extension",294963.47,5043117.93
1435,"Chabanel","Esplanade","Ahuntsic - Cartierville",292847.5,5044590.29
1436,"Christophe-Colomb","Jacques-Casault","Ahuntsic - Cartierville",294616.75,5045782.62
1437,"Champagneur","Ogilvy","Villeray - Saint-Michel - Parc-Extension",294938.22,5043058.07
1438,"6 e Avenue","Saint-Zotique","Rosemont - Petite-Patrie",297576.58,5045948.88
1440,"Hôtel-de-Ville","Mont-Royal","Plateau Mont-Royal",298192.16,5042464.47
1442,"8 e Avenue","Rosemont","Rosemont - Petite-Patrie",298403.34,5045730.02
1445,"Cavendish","Chester","Côte-des-Neiges - Notre-Dame-de-Grâce",293421.23,5036764.96
1446,"René-Lévesque","800 Face au Reine-Élizabeth","Ville-Marie",299471.4,5040123.5
1447,"Beauharnois","Charles-de-la-Tour","Ahuntsic - Cartierville",292862.02,5043261.55
1448,"Jeanne-Mance","Mont-Royal","Plateau Mont-Royal",297874.81,5041960.07
1449,"Jeanne-Mance","Maisonneuve","Ville-Marie",299461.93,5040919.57
1450,"Côte-Sainte-Catherine","Stirling","Côte-des-Neiges - Notre-Dame-de-Grâce",295550.54,5040981.06
1451,"Montigny","Tricentenaire","Rivières-des-Prairies - Pointe-aux-Trembles",304618.46,5056844.1
1458,"Chambord","Fleury","Ahuntsic - Cartierville",292450.59,5046659.94
1459,"Saint-Urbain","Sauvé","Ahuntsic - Cartierville",292237.2,5045060.29
1460,"19 e Avenue","Jarry","Villeray - Saint-Michel - Parc-Extension",296640.96,5047726.06
1461,"Pie-IX","face au 8211","Villeray - Saint-Michel - Parc-Extension",296676.88,5048032.5
1462,"Notre-Dame","Place d'Armes/Saint-Sulpice","Ville-Marie",300373.56,5040557.72
1463,"Assomption","Saules des","Rosemont - Petite-Patrie",300304.73,5048081.53
1468,"André-Grasset","Émile-Journault","Ahuntsic - Cartierville",294223.73,5046420.08
1476,"Crémazie","Henri-Julien inter. Nord","Ahuntsic - Cartierville",293871.56,5044954
1478,"Square Victoria Est","Viger","Ville-Marie",299882.3,5040259.5
1479,"Crémazie","Jarry inter. Nord","Villeray - Saint-Michel - Parc-Extension",295858.12,5046480
1480,"Crémazie","Jarry inter. Sud","Villeray - Saint-Michel - Parc-Extension",295727.8,5046298
1481,"24 e Avenue","Crémazie","Villeray - Saint-Michel - Parc-Extension",297063.6,5047946
1484,"19 e Avenue","Crémazie inter. Sud","Villeray - Saint-Michel - Parc-Extension",296882.38,5047574.5
1485,"19 e Avenue","Crémazie inter. Nord","Villeray - Saint-Michel - Parc-Extension",296837.4,5047604.5
1488,"17 e Avenue","Jean-Talon","Villeray - Saint-Michel - Parc-Extension",297407.07,5047004.07
1491,"Fernand-Gauthier","Maurice-Duplessis","Rivières-des-Prairies - Pointe-aux-Trembles",297346.81,5054142.63
1493,"Davidson","Rachel/Saint-Michel","Rosemont - Petite-Patrie",300142.99,5045235.61
1494,"Érables","Rachel","Plateau Mont-Royal",299584.19,5043721.1
1495,"Aylmer","Pins","Plateau Mont-Royal",298587.59,5041048.84
1497,"Notre-Dame","Saint-Georges (pl)","Rivières-des-Prairies - Pointe-aux-Trembles",305572.2,5057075.94
1501,"Sherbrooke","5300 Est (Village Olympique)","Mercier - Hochelaga - Maisonneuve",300718.03,5047630.5
1510,"Atwater","Lionel-Groulx","Sud-Ouest",298617.98,5038127.54
1517,"Notre-Dame","Gypsum","Mercier - Hochelaga - Maisonneuve",303956.5,5049136
1518,"Rosemont","5689 (Hôp. Maisonneuve-R.)","Rosemont - Petite-Patrie",300037.44,5048570.5
1521,"Acadie","Legendre","Ahuntsic - Cartierville",292805.5,5043613.61
1524,"Henri-Julien","Jean-Talon","Villeray - Saint-Michel - Parc-Extension",295776.72,5044139.16
1525,"Montgomery","Sherbrooke","Plateau Mont-Royal",300139.09,5044352.6
1526,"Jean-d'Estrées","Saint-Antoine","Ville-Marie",299508.13,5039587.4
1527,"McGill College","Président-Kennedy","Ville-Marie",299040.82,5040367.04
1528,"Boyer","Jean-Talon","Rosemont - Petite-Patrie",296002.69,5044647.36
1530,"Boyer","Rosemont","Rosemont - Petite-Patrie",297326.59,5043806.11
1531,"Clifton","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",295510.34,5036573.09
1532,"Jean-Talon","Lucerne","Côte-des-Neiges - Notre-Dame-de-Grâce",293500.97,5040316.39
1533,"40 e Avenue","Henri-Bourassa inter.Sud","Rivières-des-Prairies - Pointe-aux-Trembles",303921.7,5058266
1535,"31 e Avenue","Rosemont","Rosemont - Petite-Patrie",299395.71,5047335.16
1536,"Jean-d'Estrées","Saint-Jacques","Ville-Marie",299631,5039497
1540,"Beauclerk","Notre-Dame","Mercier - Hochelaga - Maisonneuve",303747.32,5048798.12
1542,"Lachapelle","Ranger","Ahuntsic - Cartierville",287745.45,5043261.17
1543,"Henri-Bourassa Est","Saint-Jean-Baptiste","Rivières-des-Prairies - Pointe-aux-Trembles",301976.41,5056940.85
1545,"Irwin","Trinitaires","Sud-Ouest",296627.19,5034137.59
1546,"Lacroix","Trinitaires","Sud-Ouest",296871.14,5034074.69
1547,"Decelles","Swail","Côte-des-Neiges - Notre-Dame-de-Grâce",295537.12,5039696.85
1548,"Bridge","Chemin-des-Irlandais","Sud-Ouest",301245.5,5038562.96
1550,"Commune de la","Mill","Ville-Marie",300661.44,5039604
1551,"Brennan/Commune","Prince","Ville-Marie",300650.55,5039571.56
1555,"Réal-Benoit","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",304613.98,5059677.66
1556,"Saint-Patrick","5870 (Sidbec-Dosco)","Sud-Ouest",296748.16,5035661
1557,"Parc","Rachel face monument","Plateau Mont-Royal",298172.5,5041645.5
1559,"Saint-Jean-Baptiste","Autoroute 40 nord","Rivières-des-Prairies - Pointe-aux-Trembles",302494.97,5056547
1561,"Beaubien","François-Boivin","Mercier - Hochelaga - Maisonneuve",300169.73,5050054.65
1563,"Beaubien","Pierre-Gadois","Mercier - Hochelaga - Maisonneuve",300288.9,5050330.25
1564,"Langelier","Renty","Mercier - Hochelaga - Maisonneuve",300933.3,5049438.03
1566,"Canadiens de Montréal","Montagne","Ville-Marie",299263.05,5039554.42
1568,"Parc","5647","Plateau Mont-Royal",296697.4,5042555
1569,"André-Laurendeau","Rachel","Rosemont - Petite-Patrie",299978.51,5044771.5
1570,"Sherbrooke","Valois","Rosemont - Petite-Patrie",300509.09,5045629.61
1572,"Laurentien","12150","Ahuntsic - Cartierville",287645.7,5043114
1573,"Saint-Antoine","Square Victoria Ouest","Ville-Marie",299961.7,5040163
1574,"Hôtel-de-Ville","Saint-Antoine","Ville-Marie",300439.42,5040988.07
1575,"Coolbrook","Vézina","Côte-des-Neiges - Notre-Dame-de-Grâce",293168.16,5039034.04
1577,"Grenet","Louisbourg","Ahuntsic - Cartierville",288408.61,5042880
1578,"Pullman","Sainte-Anne-de-Bellevue","Côte-des-Neiges - Notre-Dame-de-Grâce",294225.28,5034548.5
1579,"Cedar","Pins","Ville-Marie",298128.68,5040049.56
1581,"Brébeuf","Saint-Grégoire","Plateau Mont-Royal",297872.21,5043817.26
1585,"Perras","Rodolphe-Forget","Rivières-des-Prairies - Pointe-aux-Trembles",298643.2,5056610.61
1588,"Maurice-Duplessis","Rodolphe-Forget","Rivières-des-Prairies - Pointe-aux-Trembles",299096.23,5056000.4
1589,"Saint-Antoine","Saint-François-Xavier","Ville-Marie",300176.82,5040527.78
1591,"Acadie","Arthur-Lismer","Ahuntsic - Cartierville",291630.63,5043948.16
1596,"Angrignon","Autoroute 20 Est","Sud-Ouest",294908.8,5034826.5
1597,"Jean-Talon","5400 Ouest (Wal-Mart)","Côte-des-Neiges - Notre-Dame-de-Grâce",292736.67,5039268.56
1599,"Chabanel","Meilleur","Ahuntsic - Cartierville",292681.01,5044188.57
1603,"Acadie","Place de l'Acadie","Ahuntsic - Cartierville",290817.98,5043774.54
1605,"Champlain","Église de l'","Verdun",298626.38,5035933.56
1611,"Pins","Bretelle Parc Nord","Plateau Mont-Royal",298645.28,5041238
1615,"Parc","30 m Sud de Duluth","Plateau Mont-Royal",298382.59,5041507
1618,"Charon","Wellington","Sud-Ouest",300202.7,5037703.4
1621,"Queen-Mary","face 3791 (stat. Oratoire St-J","Côte-des-Neiges - Notre-Dame-de-Grâce",295356.06,5039238
1641,"Cherrier","Jacques-Bizard","Ile-Bizard - Sainte-Geneviève",275759.12,5039027
1646,"Hector-Barsalou","Notre-Dame","Mercier - Hochelaga - Maisonneuve",304014.02,5049229.51
1648,"Sherbrooke","7846 (face Fonteneau)","Mercier - Hochelaga - Maisonneuve",302011.16,5050599
1656,"Côte-Vertu","3600 face Bazar","Saint-Laurent",288499.34,5039329
1657,"Côte-Vertu","Sainte-Croix","Saint-Laurent",290738.09,5041832.5
1658,"Edouard-Laurin","Marcel-Laurin","Saint-Laurent",290184.75,5041076
1659,"Côte-Vertu","Marcel-Laurin","Saint-Laurent",290107.22,5041144.5
1660,"Marcel-Laurin","Thimens","Saint-Laurent",289725.81,5041487.5
1661,"Marcel-Laurin","1515 Accès Super-C","Saint-Laurent",289550,5041646.5
1662,"Marcel-Laurin","1757 Accès Maxi","Saint-Laurent",289384.31,5041794
1663,"Henri-Bourassa","Marcel-Laurin","Saint-Laurent",288584.59,5042496
1669,"Mentana","Saint-Grégoire","Plateau Mont-Royal",297701.35,5043556.6
1675,"Acadie","Liban/Olivier-Berthelet","Ahuntsic - Cartierville",291435.26,5043892.07
1678,"Décarie","Jockeys des inter. Est","Côte-des-Neiges - Notre-Dame-de-Grâce",292816.23,5039457.37
1679,"2 e Avenue","Jarry","Villeray - Saint-Michel - Parc-Extension",296029.11,5046757.59
1684,"Elzéar-Soucy","Sauvé","Ahuntsic - Cartierville",291832.34,5043777.75
1698,"Henri-Julien","Rachel","Plateau Mont-Royal",298618.11,5042320.58
1699,"Marcel-Laurin","Galerie St-Laurent St-Exupéry","Saint-Laurent",289045.55,5042092.94
1701,"Hochelaga","Vimont","Mercier - Hochelaga - Maisonneuve",301545.99,5047001.71
1706,"Christophe-Colomb","Mistral","Villeray - Saint-Michel - Parc-Extension",294876.95,5045482.24
1708,"Chabot","Crémazie Est","Villeray - Saint-Michel - Parc-Extension",295461,5046143.5
1709,"Barnabé-Larocque","Papineau","Villeray - Saint-Michel - Parc-Extension",294943.71,5046291.63
1723,"Saint-Charles","3933 Accès Rona","Pierrefonds - Roxboro",276085.09,5035772
1726,"Grey","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",296485.58,5037397.53
1731,"Acadie","Salaberry","Ahuntsic - Cartierville",289514.34,5044555
1733,"Montagne","Wellington","Ville-Marie",300241.44,5039093.98
1737,"Birnam","Sauvé","Ahuntsic - Cartierville",291888.91,5044077.04
1738,"Chemin-des-Moulins","Pierre-Dupuy int. Est","Ville-Marie",301357.2,5038834.5
1750,"Henri-Bourassa Est","Nicolas-Josselin","Rivières-des-Prairies - Pointe-aux-Trembles",297621.31,5053131.6
1751,"Henri-Bourassa Est","Louis-Hippolyte-La Fontaine","Anjou",297199,5052746
1757,"Dollard","Newman","LaSalle",294252.63,5032303.23
1811,"La Vérendrye","Trinitaires","Sud-Ouest",297554.81,5033933
1906,"Boyer","Villeray","Villeray - Saint-Michel - Parc-Extension",295411.2,5045022.07
1941,"Émile-Nelligan","Laurentien","Ahuntsic - Cartierville",287451.4,5043247
1942,"Jean-Talon","Saint-Dominique","Villeray - Saint-Michel - Parc-Extension",295631.59,5043925
2008,"Bennett","Hochelaga","Mercier - Hochelaga - Maisonneuve",301270.13,5046361.65
2021,"Christophe-Colomb","Henri-Gauthier 30 m au Nord","Ahuntsic - Cartierville",294504.07,5045936
2028,"Cathédrale","Notre-Dame","Ville-Marie",299899.55,5039557.06
2039,"Maisonneuve","Prud'Homme","Côte-des-Neiges - Notre-Dame-de-Grâce",296462.79,5036938.36
2047,"Berri","De La Gauchetière","Ville-Marie",300413.66,5041458.52
2086,"20e Avenue","Beaubien","Rosemont - Petite-Patrie",298482.03,5045808.86
2151,"Hochelaga","Joliette","Mercier - Hochelaga - Maisonneuve",300785,5045213
2167,"Garnier","Saint-Grégoire","Plateau Mont-Royal",297986.79,5043992.09
2232,"Parc","Pins","Plateau Mont-Royal",298695.26,5041304.3
2303,"Chomedey","Maisonneuve","Ville-Marie",298241.04,5039087.6
2371,"Assomption","Sapins des","Rosemont - Petite-Patrie",300122.11,5048170.28
2386,"Bellechasse","Louis-Hémon","Rosemont - Petite-Patrie",297774.29,5045051.59
2410,"Chabanel","Parc","Ahuntsic - Cartierville",292714.72,5044270.75
2437,"Saint-André","Saint-Antoine","Ville-Marie",300700.69,5041575
2479,"Maurice-Duplessis","Saint-Jean-Baptiste","Rivières-des-Prairies - Pointe-aux-Trembles",301537.34,5057714.55
2656,"Saint-André","Viger","Ville-Marie",300642,5041613.5
2699,"Chemin du Golf","Gouin","Ahuntsic - Cartierville",286915.64,5043106.33
2773,"Henri-Julien","Jarry","Villeray - Saint-Michel - Parc-Extension",294651.81,5044607.11
2796,"Henri-Bourassa","Métropolitain Est","Rivières-des-Prairies - Pointe-aux-Trembles",303545.08,5057898.56
2850,"Clark","Maisonneuve (int. Nord)","Ville-Marie",299600.9,5041181.97
2869,"Commune de la","McGill","Ville-Marie",300668.93,5039874.43
2901,"Maurice-Duplessis","Pierre-Baillargeon","Rivières-des-Prairies - Pointe-aux-Trembles",298833.28,5055715.57
2947,"Acadie","d'Anvers","Villeray - Saint-Michel - Parc-Extension",293793,5043198
3007,"Saint-Denis","Sauvé","Ahuntsic - Cartierville",292552.4,5045586.75
3028,"Bercy","Rouen","Ville-Marie",300520,5043998
3060,"Boyer","Saint-Zotique","Rosemont - Petite-Patrie",296544.7,5044304.58
3064,"Crescent","Sherbrooke","Ville-Marie",298595.82,5039897
3097,"Belgrave","Saint-Jacques","Côte-des-Neiges - Notre-Dame-de-Grâce",296020,5036189
3231,"Assomption","Marseille","Mercier - Hochelaga - Maisonneuve",301235.39,5047647.55
3473,"Jean-d'Estrées / Murray","Notre-Dame","Ville-Marie",299817,5039377
3527,"Papineau","Ville-Marie","Ville-Marie",301076.76,5042279.87
3628,"Chabanel","Jeanne-Mance","Ahuntsic - Cartierville",292772.39,5044409.99
3720,"Beaubien","De Gaspé","Rosemont - Petite-Patrie",296449.21,5043560.08
3757,"Clarence-Gagnon","Notre-Dame","Mercier - Hochelaga - Maisonneuve",303168.06,5047844
3803,"Mont-Royal","Resther","Plateau Mont-Royal",298433.32,5042851.59
3853,"Bélanger","Boyer","Rosemont - Petite-Patrie",296276.2,5044474.08
3936,"Bélanger","Chatelain","Mercier - Hochelaga - Maisonneuve",298981.27,5048896.07
3944,"16 e Avenue","Rosemont","Rosemont - Petite-Patrie",298750.5,5046299.57
4081,"McGill","William & Place Youville","Ville-Marie",300405.16,5039994
4123,"Henri-Julien","Pins des","Plateau Mont-Royal",299119.73,5041994.22
4175,"Carillon","Notre-Dame","Sud-Ouest",297362.6,5036541
4320,"Bellechasse","Boyer","Rosemont - Petite-Patrie",297061.91,5043974.32
4323,"Chabanel","Saint-Urbain","Ahuntsic - Cartierville",292930.66,5044791.24
