Int_no,Rue_1,Rue_2,Arrondissement,X,Y,Longitude,Latitude
17921,Henri-Bourassa Est,Sherbrooke Est,Rivières-des-Prairies - Pointe-aux-Trembles,304346.75,5058481.5,-73.50583370000001,45.6662549
17927,Crowley,Upper-Lachine,Côte-des-Neiges - Notre-Dame-de-Grâce,296510.74,5036908.22,-73.609589,45.4689189
17929,Lacordaire,Accès Gare AMT,Saint-Léonard,295961,5051196,-73.5750796,45.5003154
17930,Henri-Bourassa,Pie-IX (int. Nord),Montréal-Nord,293612.06,5050757,-73.6424093,45.5967938
17931,Louis-Hippolite-La Fontaine,Maurice-Duplessis côté Ouest,Rivières-des-Prairies - Pointe-aux-Trembles,296646.47,5053620,-73.57555339999999,45.6419832
17933,Jarry,Traverse Scolaire 100m O St-Laurent,Villeray - Saint-Michel - Parc-Extension,294501.12,5044240.79,-73.6015218,45.5268651
17936,Décarie,Accès sud CUSM,Côte-des-Neiges - Notre-Dame-de-Grâce,296744.47,5036866.5,-73.5750796,45.5003154
17939,Berri,1640 sortie BUS Ilot Voyageur,Ville-Marie,299867.44,5041817.98,-73.5635899,45.5171312
17940,Cabot,Saint-Rémi,Sud-Ouest,297986.97,5036164,-73.587007,45.4675895
17951,3200 (Collège Brébreuf et Stat. Hôp. Sainte-Justine),Côte-Sainte-Catherine,Côte-des-Neiges - Notre-Dame-de-Grâce,295066,5040224,-73.6239156,45.5032186
18024,Notre-Dame,Face au 1700  (Molson),Ville-Marie,301066.8,5042114.5,-73.567256,45.5016889
18026,Côte-des-Neiges,McDougall,Ville-Marie,297529.68,5039449.15,-73.8793925,45.4865153
